title,id,name,cred,offered,prereq,coreq,antireq,descr
CS115,012765,Introduction to Computer Science 1,0.50,FWS,,,"BME 121, CS 135, 137, 138, 145, CHE 121, CIVE 121, ECE 150, GENE 121/MTE 121, ME 101, NE 111, MSCI 121, PHYS 139, SYDE 121","An introduction to the fundamentals of computer science through the application of elementary programming patterns in the functional style of programming. Function definition and application. Tracing via substitution. Design, testing, and documentation. Recursive data definitions. Lists and trees. Functional and data abstraction. "
CS116,012766,Introduction to Computer Science 2,0.50,FWS,CS 115 or 135 or 145.,,"CS 136, 137, 138, 146, PHYS 236, 239, MSCI 240, NE 111","This course builds on the techniques and patterns learned in CS 115 while making the transition to use of an imperative language. Generative and structural recursion. Mutation (assignment) and its role in an imperative language. Primitive types and basic I/O. Sequencing, selection, looping. Function definition and use. File and console I/O. Issues in computer science. "
CS135,012040,Designing Functional Programs,0.50,FW,,,"BME 121, CS 115, 137, 138, 145, CIVE 121, ECE 150, ME 101, MSCI 121, PHYS 236, SYDE 121","An introduction to the fundamentals of computer science through the application of elementary programming patterns in the functional style of programming. Syntax and semantics of a functional programming language. Tracing via substitution. Design, testing, and documentation. Linear and nonlinear data structures. Recursive data definitions. Abstraction and encapsulation. Generative and structural recursion. Historical context. "
CS136,012041,Elementary Algorithm Design and Data Abstraction,0.50,FWS,At least 90% in CS 115 or at least 70% in CS 116 or at least 60% in CS 135 or CS 145.,,"CS 137, 138, 146, PHYS 239","This course builds on the techniques and patterns learned in CS 135 while making the transition to use an imperative language. It introduces the design and analysis of algorithms, the management of information, and the programming mechanisms and methodologies required in implementations. Topics discussed include iterative and recursive sorting algorithms; lists, stacks, queues, trees, and their application; abstract data types and their implementations. "
CS137,012886,Programming Principles,0.50,F,Software Engineering students only,,,Review of fundamental programming concepts and their application. Procedures and parameter passing. Arrays and structures. Recursion. Sorting. Pointers and simple dynamic structures. Space and time analysis of designs. Design methodologies. 
CS138,012887,Introduction to Data Abstraction and Implementation,0.50,W,CS 137,,,"Software abstractions via elementary data structures and their implementation; encapsulation and modularity; class and interface definitions; object instantiation; recursion; elementary abstract data types, including sequences, stacks, queues, and trees; implementation using linked structures and arrays; vectors and strings; memory models; automatic vs. dynamic memory management. "
CS145,012767,Designing Functional Programs (Advanced Level),0.50,F,,,"CS 115, 135, 137, 138",CS 145 is an advanced-level version of CS 135. 
CS146,013657,Elementary Algorithm Design and Data Abstraction (Advanced Level),0.50,W,CS 145 with a grade of at least 75%.,,"CS 116, 136, 137, 138.",CS 146 is an advanced-level version of CS 136. 
CS240,004377,Data Structures and Data Management,0.50,FWS,"(CS 245 or SE 212), (one of CS 241, 246, 247), (one of STAT 206, 230, 240); Computer Science and BMath (Data Science) students only.",,"BME 122, CS 234, ECE 250, MTE 140, SYDE 223","Introduction to widely used and effective methods of data organization, focusing on data structures, their algorithms, and the performance of these algorithms. Specific topics include priority queues, sorting, dictionaries, data structures for text processing. "
CS240E,015405,Data Structures and Data Management (Enriched),0.50,,"A grade of 85% or higher in one of CS 136, 138 or 146; Computer Science students only.",,"CS 234, ECE 250",Enriched version of CS 240. 
